rainfall_intensity_mmh,rainfall_24h_mm,rainfall_72h_mm,antecedent_precip_index,soil_moisture_vwc,pore_water_pressure_kpa,slope_deg,elevation_m,lithology_weakness,historical_density,distance_to_road_cut_m,distance_to_drainage_m,sensor_anomaly_score,risk_score,landslide_occurred
3.2,22.33,46.88,68.32,35.63,0.0,23.5,1125.2,3,1.08,307.0,50.0,11.14,40.0,0
15.36,112.46,275.0,192.06,88.0,48.0,41.76,2266.9,4,2.75,76.9,22.9,2.0,99.1,1
6.48,58.9,128.87,104.36,52.13,14.8,50.82,1643.9,4,1.86,91.1,111.0,6.53,99.5,1
6.79,37.05,56.2,71.37,35.76,2.31,40.5,2058.7,5,1.04,4.7,92.7,0.66,95.3,1
3.06,18.98,31.51,47.17,24.54,0.0,50.66,1602.8,4,0.54,276.6,202.0,4.62,49.6,0
1.65,7.26,12.39,46.29,18.79,0.0,42.75,964.7,2,1.31,36.5,33.6,4.4,31.4,0
1.17,13.75,24.21,63.99,24.76,0.0,42.01,1846.9,1,1.56,460.3,148.6,3.86,27.0,0
15.75,83.11,182.13,128.63,70.28,35.96,31.6,783.5,3,1.79,27.1,212.8,0.43,97.3,1
7.32,34.9,73.47,84.69,40.78,7.7,38.43,1552.9,4,1.67,35.1,63.9,0.7,89.5,1
10.36,49.55,83.46,69.62,48.87,11.06,35.75,1145.0,2,1.73,79.5,272.6,7.33,89.6,1
0.74,3.21,4.8,26.77,18.35,0.0,35.46,614.8,4,1.16,129.6,101.8,47.27,46.1,0
27.17,133.22,218.49,148.5,82.36,48.0,33.84,1167.8,3,1.49,69.7,31.9,14.57,100.0,1
16.77,70.56,196.01,138.52,75.59,42.24,37.92,951.6,4,0.61,52.0,39.0,1.96,100.0,1
2.44,17.88,36.77,43.29,26.64,0.0,24.98,535.7,2,0.31,93.2,58.9,1.28,12.5,0
1.65,9.97,26.07,37.33,27.74,0.0,42.9,2030.0,2,1.68,381.3,31.0,0.03,34.5,0
0.85,10.27,26.58,62.76,33.46,0.0,28.54,1347.0,2,0.09,392.3,149.0,3.99,18.2,0
